球団,選手名,ポジション,打率,打数,得点,安打,二塁打,三塁打,本塁打,打点,三振,四球,死球,犠打,盗塁,失策,出塁率,長打率,OPS,ISO,期間
読売ジャイアンツ,ティマ,外野手,0.000,8,0,0,0,0,0,0,3,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
読売ジャイアンツ,浅野 翔吾,外野手,0.000,3,0,0,0,0,0,0,1,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
読売ジャイアンツ,若林 楽人,外野手,0.000,1,0,0,0,0,0,0,1,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
読売ジャイアンツ,三塚 琉生,外野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
読売ジャイアンツ,松井 蓮太朗,捕手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
読売ジャイアンツ,喜多 隆介,捕手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
読売ジャイアンツ,亀田 啓太,捕手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
読売ジャイアンツ,坂本 達也,捕手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
読売ジャイアンツ,中田 歩夢,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
読売ジャイアンツ,村山 源,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
読売ジャイアンツ,田上 優弥,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
読売ジャイアンツ,竹下 徠空,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
読売ジャイアンツ,北村 流音,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
読売ジャイアンツ,川原田 純平,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
読売ジャイアンツ,鈴木 大和,外野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
読売ジャイアンツ,知念 大成,外野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
読売ジャイアンツ,相澤 白虎,外野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
読売ジャイアンツ,フェリス,外野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
読売ジャイアンツ,笹原 操希,外野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
阪神タイガース,梅野 隆太郎,捕手,0.000,5,1,0,0,0,0,0,2,0,1,0,1,0,0.167,0.000,0.167,0.000,2026/05/26_2026/05/31
阪神タイガース,坂本 誠志郎,捕手,0.250,8,0,2,1,0,0,1,2,0,0,0,0,1,0.200,0.375,0.575,0.125,2026/05/26_2026/05/31
阪神タイガース,伏見 寅威,捕手,0.333,6,0,2,0,0,0,0,1,0,0,0,0,0,0.250,0.333,0.583,0.000,2026/05/26_2026/05/31
阪神タイガース,榮枝 裕貴,捕手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
阪神タイガース,町田 隼乙,捕手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
阪神タイガース,長坂 拳弥,捕手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
阪神タイガース,藤田 健斗,捕手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
阪神タイガース,中川 勇斗,捕手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
阪神タイガース,嶋村 麟士朗,捕手,0.200,5,0,1,0,0,0,0,2,0,0,0,0,0,0.167,0.200,0.367,0.000,2026/05/26_2026/05/31
阪神タイガース,元山 飛優,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
阪神タイガース,木浪 聖也,内野手,0.222,9,1,2,1,0,0,0,3,0,0,0,0,0,0.182,0.333,0.515,0.111,2026/05/26_2026/05/31
阪神タイガース,大山 悠輔,内野手,0.250,24,0,6,0,0,0,1,6,0,0,0,0,0,0.200,0.250,0.450,0.000,2026/05/26_2026/05/31
阪神タイガース,熊谷 敬宥,内野手,0.091,11,1,1,0,0,0,0,3,1,0,1,0,1,0.154,0.091,0.245,0.000,2026/05/26_2026/05/31
阪神タイガース,中野 拓夢,内野手,0.304,23,0,7,0,0,0,1,5,1,0,1,0,0,0.258,0.304,0.562,0.000,2026/05/26_2026/05/31
阪神タイガース,佐藤 輝明,内野手,0.292,24,2,7,0,0,2,2,4,1,0,0,0,0,0.250,0.542,0.792,0.250,2026/05/26_2026/05/31
阪神タイガース,立石 正広,内野手,0.125,24,1,3,0,0,0,0,4,1,0,0,1,0,0.143,0.125,0.268,0.000,2026/05/26_2026/05/31
阪神タイガース,ディベイニー,内野手,0.167,6,1,1,0,0,0,0,2,1,0,0,0,0,0.250,0.167,0.417,0.000,2026/05/26_2026/05/31
