試合ID,試合日,曜日,リーグ区分,ホーム/ビジター,球団,対戦球団,投手フルネーム,登板順,登板区分,結果,投球数,打者,投球回,投球回(アウト),奪三振,暴投,ボーク,失点,自責点,試合防御率
20260703_B-L_13,2026-07-03,金,パ・リーグ公式戦,ビジター,埼玉西武ライオンズ,オリックス・バファローズ,中村 祐太,2,救援,,24,6,2,6,2,0,0,0,0,0.00
20260703_B-L_13,2026-07-03,金,パ・リーグ公式戦,ビジター,埼玉西武ライオンズ,オリックス・バファローズ,森脇 亮介,3,救援,,23,6,1,3,1,0,0,0,0,0.00
20260703_B-L_13,2026-07-03,金,パ・リーグ公式戦,ビジター,埼玉西武ライオンズ,オリックス・バファローズ,篠原 響,4,救援,,20,4,1,3,2,0,0,0,0,0.00
20260703_B-L_13,2026-07-03,金,パ・リーグ公式戦,ビジター,埼玉西武ライオンズ,オリックス・バファローズ,Ｔ．ウィンゲンター,5,救援,H,13,5,1,3,1,0,0,0,0,0.00
20260703_B-L_13,2026-07-03,金,パ・リーグ公式戦,ビジター,埼玉西武ライオンズ,オリックス・バファローズ,甲斐野 央,6,救援,H,18,5,1,3,1,0,0,0,0,0.00
20260703_B-L_13,2026-07-03,金,パ・リーグ公式戦,ビジター,埼玉西武ライオンズ,オリックス・バファローズ,黒田 将矢,7,救援,H,20,5,1,3,1,0,0,0,0,0.00
20260703_B-L_13,2026-07-03,金,パ・リーグ公式戦,ビジター,埼玉西武ライオンズ,オリックス・バファローズ,豆田 泰志,8,救援,,27,7,2,6,1,0,0,0,0,0.00
20260703_H-M_09,2026-07-03,金,パ・リーグ公式戦,ビジター,千葉ロッテマリーンズ,福岡ソフトバンクホークス,廣池 康志郎,1,先発,敗,112,29,7,21,6,0,0,3,2,2.57
20260703_H-M_09,2026-07-03,金,パ・リーグ公式戦,ビジター,千葉ロッテマリーンズ,福岡ソフトバンクホークス,Ｊ．カスティーヨ,2,救援,,13,3,1,3,0,0,0,0,0,0.00
20260703_D-G_12,2026-07-03,金,セ・リーグ公式戦,ホーム,中日ドラゴンズ,読売ジャイアンツ,大野 雄大,1,先発,勝,102,28,8,24,7,0,0,0,0,0.00
20260703_D-G_12,2026-07-03,金,セ・リーグ公式戦,ホーム,中日ドラゴンズ,読売ジャイアンツ,松山 晋也,2,救援,S,17,5,1,3,2,0,0,0,0,0.00
20260703_S-DB_11,2026-07-03,金,セ・リーグ公式戦,ホーム,東京ヤクルトスワローズ,横浜DeNAベイスターズ,高橋 奎二,1,先発,,111,26,6.2,20,4,0,0,2,2,2.70
20260703_S-DB_11,2026-07-03,金,セ・リーグ公式戦,ホーム,東京ヤクルトスワローズ,横浜DeNAベイスターズ,清水 昇,2,救援,,2,1,0.1,1,0,0,0,0,0,0.00
20260703_S-DB_11,2026-07-03,金,セ・リーグ公式戦,ホーム,東京ヤクルトスワローズ,横浜DeNAベイスターズ,廣澤 優,3,救援,,9,3,1,3,1,0,0,0,0,0.00
20260703_S-DB_11,2026-07-03,金,セ・リーグ公式戦,ホーム,東京ヤクルトスワローズ,横浜DeNAベイスターズ,Ｊ．リランソ,4,救援,H,18,3,1,3,0,0,0,0,0,0.00
20260703_S-DB_11,2026-07-03,金,セ・リーグ公式戦,ホーム,東京ヤクルトスワローズ,横浜DeNAベイスターズ,星 知弥,5,救援,敗,16,6,0.2,2,0,1,0,4,3,40.50
20260703_S-DB_11,2026-07-03,金,セ・リーグ公式戦,ホーム,東京ヤクルトスワローズ,横浜DeNAベイスターズ,大西 広樹,6,救援,,10,3,0.1,1,0,0,0,1,0,0.00
20260703_E-F_12,2026-07-03,金,パ・リーグ公式戦,ホーム,東北楽天ゴールデンイーグルス,北海道日本ハムファイターズ,早川 隆久,1,先発,勝,117,29,8,24,12,0,0,0,0,0.00
20260703_E-F_12,2026-07-03,金,パ・リーグ公式戦,ホーム,東北楽天ゴールデンイーグルス,北海道日本ハムファイターズ,加治屋 蓮,2,救援,,15,4,1,3,1,0,0,0,0,0.00
20260703_D-G_12,2026-07-03,金,セ・リーグ公式戦,ビジター,読売ジャイアンツ,中日ドラゴンズ,Ｆ．ウィットリー,1,先発,敗,100,24,6,18,9,1,0,1,1,1.50
20260703_D-G_12,2026-07-03,金,セ・リーグ公式戦,ビジター,読売ジャイアンツ,中日ドラゴンズ,大勢,2,救援,,10,3,1,3,2,0,0,0,0,0.00
20260703_D-G_12,2026-07-03,金,セ・リーグ公式戦,ビジター,読売ジャイアンツ,中日ドラゴンズ,高梨 雄平,3,救援,,7,3,0.2,2,0,0,0,0,0,0.00
20260703_D-G_12,2026-07-03,金,セ・リーグ公式戦,ビジター,読売ジャイアンツ,中日ドラゴンズ,田和 廉,4,救援,,1,1,0.1,1,0,0,0,0,0,0.00
20260703_H-M_09,2026-07-03,金,パ・リーグ公式戦,ホーム,福岡ソフトバンクホークス,千葉ロッテマリーンズ,Ｃ．スチュワート・ジュニア,1,先発,勝,95,23,5.2,17,2,1,0,2,1,1.59
20260703_H-M_09,2026-07-03,金,パ・リーグ公式戦,ホーム,福岡ソフトバンクホークス,千葉ロッテマリーンズ,津森 宥紀,2,救援,H,3,1,0.1,1,1,0,0,0,0,0.00
20260703_H-M_09,2026-07-03,金,パ・リーグ公式戦,ホーム,福岡ソフトバンクホークス,千葉ロッテマリーンズ,Ｒ．オスナ,3,救援,H,8,3,1,3,2,0,0,0,0,0.00
20260703_H-M_09,2026-07-03,金,パ・リーグ公式戦,ホーム,福岡ソフトバンクホークス,千葉ロッテマリーンズ,松本 裕樹,4,救援,H,17,4,1,3,3,1,0,0,0,0.00
20260703_H-M_09,2026-07-03,金,パ・リーグ公式戦,ホーム,福岡ソフトバンクホークス,千葉ロッテマリーンズ,杉山 一樹,5,救援,S,7,3,1,3,0,0,0,0,0,0.00
20260703_E-F_12,2026-07-03,金,パ・リーグ公式戦,ビジター,北海道日本ハムファイターズ,東北楽天ゴールデンイーグルス,伊藤 大海,1,先発,敗,80,31,7+,21,6,0,0,6,6,7.71
20260703_E-F_12,2026-07-03,金,パ・リーグ公式戦,ビジター,北海道日本ハムファイターズ,東北楽天ゴールデンイーグルス,畔柳 亨丞,2,救援,,29,6,1,3,1,1,0,2,2,18.00
20260702_F-B_15,2026-07-02,木,パ・リーグ公式戦,ビジター,オリックス・バファローズ,北海道日本ハムファイターズ,佐藤 一磨,1,先発,敗,16,4,0+,0,0,0,0,4,4,
20260702_F-B_15,2026-07-02,木,パ・リーグ公式戦,ビジター,オリックス・バファローズ,北海道日本ハムファイターズ,権田 琉成,2,救援,,47,12,3,9,3,1,0,1,1,3.00
20260702_F-B_15,2026-07-02,木,パ・リーグ公式戦,ビジター,オリックス・バファローズ,北海道日本ハムファイターズ,片山 楽生,3,救援,,50,16,3,9,0,0,0,4,4,12.00
20260702_F-B_15,2026-07-02,木,パ・リーグ公式戦,ビジター,オリックス・バファローズ,北海道日本ハムファイターズ,宮國 凌空,4,救援,,19,6,2,6,1,0,0,0,0,0.00
20260702_DB-C_13,2026-07-02,木,セ・リーグ公式戦,ホーム,横浜DeNAベイスターズ,広島東洋カープ,平良 拳太郎,1,先発,,87,22,5,15,4,0,0,1,1,1.80
20260702_DB-C_13,2026-07-02,木,セ・リーグ公式戦,ホーム,横浜DeNAベイスターズ,広島東洋カープ,Ｊ．ルイーズ,2,救援,H,17,4,1,3,1,1,0,0,0,0.00
20260702_DB-C_13,2026-07-02,木,セ・リーグ公式戦,ホーム,横浜DeNAベイスターズ,広島東洋カープ,中川 虎大,3,救援,H,10,3,1,3,1,0,0,0,0,0.00
20260702_DB-C_13,2026-07-02,木,セ・リーグ公式戦,ホーム,横浜DeNAベイスターズ,広島東洋カープ,Ｓ．レイノルズ,4,救援,H,14,4,1,3,1,0,0,0,0,0.00
20260702_DB-C_13,2026-07-02,木,セ・リーグ公式戦,ホーム,横浜DeNAベイスターズ,広島東洋カープ,山﨑 康晃,5,救援,,9,2,0+,0,0,0,0,2,2,
20260702_DB-C_13,2026-07-02,木,セ・リーグ公式戦,ホーム,横浜DeNAベイスターズ,広島東洋カープ,宮城 滝太,6,救援,,17,5,1,3,0,1,0,0,0,0.00
20260702_DB-C_13,2026-07-02,木,セ・リーグ公式戦,ホーム,横浜DeNAベイスターズ,広島東洋カープ,Ｈ．マルセリーノ,7,救援,H,26,5,1,3,0,0,0,0,0,0.00
20260702_DB-C_13,2026-07-02,木,セ・リーグ公式戦,ホーム,横浜DeNAベイスターズ,広島東洋カープ,伊勢 大夢,8,救援,H,15,3,1,3,2,0,0,0,0,0.00
20260702_DB-C_13,2026-07-02,木,セ・リーグ公式戦,ホーム,横浜DeNAベイスターズ,広島東洋カープ,岩田 将貴,9,救援,,23,5,1,3,1,0,0,0,0,0.00
20260702_DB-C_13,2026-07-02,木,セ・リーグ公式戦,ビジター,広島東洋カープ,横浜DeNAベイスターズ,森下 暢仁,1,先発,,93,28,6,18,4,0,0,3,3,4.50
20260702_DB-C_13,2026-07-02,木,セ・リーグ公式戦,ビジター,広島東洋カープ,横浜DeNAベイスターズ,辻 大雅,2,救援,,28,5,1,3,0,0,0,0,0,0.00
20260702_DB-C_13,2026-07-02,木,セ・リーグ公式戦,ビジター,広島東洋カープ,横浜DeNAベイスターズ,島内 颯太郎,3,救援,,21,4,1,3,1,0,0,0,0,0.00
20260702_DB-C_13,2026-07-02,木,セ・リーグ公式戦,ビジター,広島東洋カープ,横浜DeNAベイスターズ,森浦 大輔,4,救援,H,24,5,1,3,1,2,0,0,0,0.00
20260702_DB-C_13,2026-07-02,木,セ・リーグ公式戦,ビジター,広島東洋カープ,横浜DeNAベイスターズ,Ｔ．ハーン,5,救援,H,13,5,1,3,2,0,0,0,0,0.00
20260702_DB-C_13,2026-07-02,木,セ・リーグ公式戦,ビジター,広島東洋カープ,横浜DeNAベイスターズ,遠藤 淳志,6,救援,H,20,4,1,3,0,0,0,0,0,0.00
20260702_DB-C_13,2026-07-02,木,セ・リーグ公式戦,ビジター,広島東洋カープ,横浜DeNAベイスターズ,髙 太一,7,救援,,19,4,1,3,1,0,0,0,0,0.00
20260702_T-D_13,2026-07-02,木,セ・リーグ公式戦,ホーム,阪神タイガース,中日ドラゴンズ,下村 海翔,1,先発,,94,22,5,15,2,0,0,2,2,3.60
20260702_T-D_13,2026-07-02,木,セ・リーグ公式戦,ホーム,阪神タイガース,中日ドラゴンズ,木下 里都,2,救援,H,34,7,2,6,3,0,0,0,0,0.00
20260702_T-D_13,2026-07-02,木,セ・リーグ公式戦,ホーム,阪神タイガース,中日ドラゴンズ,Ｒ．ドリス,3,救援,H,28,6,1,3,2,0,0,0,0,0.00
20260702_T-D_13,2026-07-02,木,セ・リーグ公式戦,ホーム,阪神タイガース,中日ドラゴンズ,岩崎 優,4,救援,H,18,4,1,3,2,0,0,0,0,0.00
20260702_T-D_13,2026-07-02,木,セ・リーグ公式戦,ホーム,阪神タイガース,中日ドラゴンズ,工藤 泰成,5,救援,H,19,4,1,3,2,0,0,0,0,0.00
20260702_T-D_13,2026-07-02,木,セ・リーグ公式戦,ホーム,阪神タイガース,中日ドラゴンズ,及川 雅貴,6,救援,敗,22,6,1,3,0,0,0,1,1,9.00
20260702_H-L_14,2026-07-02,木,パ・リーグ公式戦,ビジター,埼玉西武ライオンズ,福岡ソフトバンクホークス,武内 夏暉,1,先発,敗,96,25,6,18,7,0,0,3,3,4.50
20260702_H-L_14,2026-07-02,木,パ・リーグ公式戦,ビジター,埼玉西武ライオンズ,福岡ソフトバンクホークス,豆田 泰志,2,救援,,12,4,1,3,0,0,0,0,0,0.00
20260702_H-L_14,2026-07-02,木,パ・リーグ公式戦,ビジター,埼玉西武ライオンズ,福岡ソフトバンクホークス,黒田 将矢,3,救援,,9,3,1,3,0,0,0,0,0,0.00
20260702_T-D_13,2026-07-02,木,セ・リーグ公式戦,ビジター,中日ドラゴンズ,阪神タイガース,柳 裕也,1,先発,,109,28,7,21,4,1,0,2,2,2.57
20260702_T-D_13,2026-07-02,木,セ・リーグ公式戦,ビジター,中日ドラゴンズ,阪神タイガース,橋本 侑樹,2,救援,H,16,5,1,3,0,0,0,0,0,0.00
20260702_T-D_13,2026-07-02,木,セ・リーグ公式戦,ビジター,中日ドラゴンズ,阪神タイガース,吉田 聖弥,3,救援,H,13,3,1,3,2,0,0,0,0,0.00
20260702_T-D_13,2026-07-02,木,セ・リーグ公式戦,ビジター,中日ドラゴンズ,阪神タイガース,齋藤 綱記,4,救援,H,14,4,0.2,2,1,0,0,0,0,0.00
20260702_T-D_13,2026-07-02,木,セ・リーグ公式戦,ビジター,中日ドラゴンズ,阪神タイガース,藤嶋 健人,5,救援,勝,4,1,0.1,1,0,0,0,0,0,0.00
20260702_T-D_13,2026-07-02,木,セ・リーグ公式戦,ビジター,中日ドラゴンズ,阪神タイガース,松山 晋也,6,救援,S,18,4,1,3,2,0,0,0,0,0.00
20260702_H-L_14,2026-07-02,木,パ・リーグ公式戦,ホーム,福岡ソフトバンクホークス,埼玉西武ライオンズ,大津 亮介,1,先発,勝,92,26,7,21,4,0,0,1,1,1.29
20260702_H-L_14,2026-07-02,木,パ・リーグ公式戦,ホーム,福岡ソフトバンクホークス,埼玉西武ライオンズ,松本 裕樹,2,救援,H,18,4,1,3,0,0,0,0,0,0.00
20260702_H-L_14,2026-07-02,木,パ・リーグ公式戦,ホーム,福岡ソフトバンクホークス,埼玉西武ライオンズ,杉山 一樹,3,救援,S,15,4,1,3,2,0,0,0,0,0.00
20260702_F-B_15,2026-07-02,木,パ・リーグ公式戦,ホーム,北海道日本ハムファイターズ,オリックス・バファローズ,有原 航平,1,先発,勝,101,23,6,18,3,0,0,1,1,1.50
20260702_F-B_15,2026-07-02,木,パ・リーグ公式戦,ホーム,北海道日本ハムファイターズ,オリックス・バファローズ,金村 尚真,2,救援,,10,3,1,3,2,0,0,0,0,0.00
