球団,選手名,ポジション,打率,打数,得点,安打,二塁打,三塁打,本塁打,打点,三振,四球,死球,犠打,盗塁,失策,出塁率,長打率,OPS,ISO
広島東洋カープ,渡邉 悠斗,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
広島東洋カープ,西川 篤夢,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
広島東洋カープ,仲田 侑仁,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
広島東洋カープ,内田 湘大,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
広島東洋カープ,辰見 鴻之介,内野手,0.000,3,4,0,0,0,0,0,2,0,0,0,5,0,0.000,0.000,0.000,0.000
広島東洋カープ,前川 誠太,内野手,0.000,7,0,0,0,0,0,0,1,1,0,0,0,0,0.125,0.000,0.125,0.000
広島東洋カープ,佐藤 啓介,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
広島東洋カープ,モンテロ,内野手,0.133,45,1,6,2,0,1,5,16,6,0,0,0,1,0.211,0.244,0.455,0.111
広島東洋カープ,二俣 翔一,内野手,0.000,8,0,0,0,0,0,0,4,0,0,1,0,0,0.000,0.000,0.000,0.000
広島東洋カープ,秋山 翔吾,外野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
広島東洋カープ,野間 峻祥,外野手,0.000,4,0,0,0,0,0,0,1,0,1,0,0,0,0.200,0.000,0.200,0.000
広島東洋カープ,平川 蓮,外野手,0.185,27,3,5,1,0,1,1,9,1,0,0,0,0,0.182,0.333,0.515,0.148
広島東洋カープ,末包 昇大,外野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
広島東洋カープ,久保 修,外野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
広島東洋カープ,大盛 穂,外野手,0.244,45,4,11,3,1,2,4,16,4,0,1,1,0,0.250,0.489,0.739,0.244
広島東洋カープ,田村 俊介,外野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
広島東洋カープ,ファビアン,外野手,0.224,49,3,11,3,0,2,3,8,5,2,0,0,0,0.269,0.408,0.677,0.184
広島東洋カープ,名原 典彦,外野手,0.240,75,8,18,1,2,2,9,6,4,1,2,3,1,0.235,0.387,0.621,0.147
広島東洋カープ,中村 奨成,外野手,0.000,1,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
広島東洋カープ,中村 貴浩,外野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
広島東洋カープ,安竹 俊喜,捕手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
広島東洋カープ,小林 結太,捕手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
広島東洋カープ,岸本 大希,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
広島東洋カープ,ラミレス,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
広島東洋カープ,ロベルト,外野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
中日ドラゴンズ,石伊 雄太,捕手,0.275,51,6,14,2,0,1,2,14,1,2,2,0,1,0.250,0.373,0.623,0.098
中日ドラゴンズ,木下 拓哉,捕手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
中日ドラゴンズ,宇佐見 真吾,捕手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
中日ドラゴンズ,味谷 大誠,捕手,0.000,1,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
中日ドラゴンズ,加藤 匠馬,捕手,0.000,10,0,0,0,0,0,0,5,0,0,0,0,0,0.000,0.000,0.000,0.000
中日ドラゴンズ,石橋 康太,捕手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
中日ドラゴンズ,辻本 倫太郎,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
中日ドラゴンズ,田中 幹也,内野手,0.348,46,7,16,3,0,0,6,7,1,0,2,2,0,0.270,0.413,0.683,0.065
中日ドラゴンズ,高橋 周平,内野手,0.167,6,0,1,0,0,0,0,3,0,0,0,0,0,0.143,0.167,0.310,0.000
中日ドラゴンズ,カリステ,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
中日ドラゴンズ,村松 開人,内野手,0.153,59,7,9,1,0,0,3,16,10,0,2,0,5,0.244,0.169,0.413,0.017
