球団,選手名,ポジション,打率,打数,得点,安打,二塁打,三塁打,本塁打,打点,三振,四球,死球,犠打,盗塁,失策,出塁率,長打率,OPS,ISO
広島東洋カープ,渡邉 悠斗,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
広島東洋カープ,西川 篤夢,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
広島東洋カープ,仲田 侑仁,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
広島東洋カープ,内田 湘大,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
広島東洋カープ,辰見 鴻之介,内野手,0.000,2,4,0,0,0,0,0,1,0,0,0,4,0,0.000,0.000,0.000,0.000
広島東洋カープ,前川 誠太,内野手,0.000,7,0,0,0,0,0,0,1,1,0,0,0,0,0.125,0.000,0.125,0.000
広島東洋カープ,佐藤 啓介,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
広島東洋カープ,モンテロ,内野手,0.125,24,0,3,1,0,0,2,10,3,0,0,0,1,0.200,0.167,0.367,0.042
広島東洋カープ,二俣 翔一,内野手,0.000,7,0,0,0,0,0,0,3,0,0,1,0,0,0.000,0.000,0.000,0.000
広島東洋カープ,秋山 翔吾,外野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
広島東洋カープ,野間 峻祥,外野手,0.000,2,0,0,0,0,0,0,1,0,1,0,0,0,0.333,0.000,0.333,0.000
広島東洋カープ,平川 蓮,外野手,0.200,20,2,4,1,0,0,0,4,1,0,0,0,0,0.200,0.250,0.450,0.050
広島東洋カープ,末包 昇大,外野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
広島東洋カープ,久保 修,外野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
広島東洋カープ,大盛 穂,外野手,0.261,23,2,6,2,0,1,3,9,2,0,0,1,0,0.258,0.478,0.736,0.217
広島東洋カープ,田村 俊介,外野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
広島東洋カープ,ファビアン,外野手,0.286,28,2,8,2,0,1,1,4,3,1,0,0,0,0.300,0.464,0.764,0.179
広島東洋カープ,名原 典彦,外野手,0.245,49,5,12,1,2,1,7,4,1,0,1,1,0,0.210,0.408,0.618,0.163
広島東洋カープ,中村 奨成,外野手,0.000,1,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
広島東洋カープ,中村 貴浩,外野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
広島東洋カープ,安竹 俊喜,捕手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
広島東洋カープ,小林 結太,捕手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
広島東洋カープ,岸本 大希,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
広島東洋カープ,ラミレス,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
広島東洋カープ,ロベルト,外野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
中日ドラゴンズ,石伊 雄太,捕手,0.273,33,5,9,1,0,1,2,9,1,2,1,0,1,0.267,0.394,0.661,0.121
中日ドラゴンズ,木下 拓哉,捕手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
中日ドラゴンズ,宇佐見 真吾,捕手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
中日ドラゴンズ,味谷 大誠,捕手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
中日ドラゴンズ,加藤 匠馬,捕手,0.000,6,0,0,0,0,0,0,3,0,0,0,0,0,0.000,0.000,0.000,0.000
中日ドラゴンズ,石橋 康太,捕手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
中日ドラゴンズ,辻本 倫太郎,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
中日ドラゴンズ,田中 幹也,内野手,0.310,29,4,9,1,0,0,3,5,0,0,1,1,0,0.237,0.345,0.582,0.034
中日ドラゴンズ,高橋 周平,内野手,0.333,3,0,1,0,0,0,0,2,0,0,0,0,0,0.250,0.333,0.583,0.000
中日ドラゴンズ,カリステ,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
中日ドラゴンズ,村松 開人,内野手,0.143,35,3,5,0,0,0,3,7,7,0,2,0,3,0.255,0.143,0.398,0.000
